# Current Sensors File

# CAN Sensors
0x300,bmuhbs,%ui32%ui32,%hbid%hbsn
0x3F4,packsoc,%f32%f32,%soc%socp
0x3F5,packbalsoc,%f32%f32,%balsoc%balsocp
0x3F6,chargerctl,%i16%i16%i16%ui16,%cverr%ctmarg%dverr%tpcap
0x3F7,precharge,%b8%ui8%ui16%g16%b8%ui8,%pcs%pstate%csv%garbage%pts%ptv
0x3F8,minmaxv,%ui16%ui16%ui8%ui8%ui8%ui8,%minv%maxv%cmuminv%cellminv%cmumaxv%cellmaxv
0x3F9,minmaxt,%ui16%ui16%ui8%ui8%ui8%ui8,%mint%maxt%cmumint%cellmint%cmumaxt%cellmaxt
0x3FA,packinfo,%ui32%i32,%pvoltage%pcurrent
0x3FB,packstatus,%ui16%ui16%ui8%ui8%ui16,%bvthr%bvthf%ps%cmucnt%bbuild
0x3FC,fanstatus,%ui16%ui16%ui16%ui16,%fan0%fan1%curfancon%curcmu
0x3FD,packextinfo,%b32%ui8%ui8%g16,%psbits%bhwver%bmodel%garbage
#
# MPPT1 Sensors (Ignoring Send Sensors)
0x600,mppt1i,%f32%f32,%mppt1iv%mppt1ic
0x601,mppt1o,%f32%f32,%mppt1ov%mppt1oc
0x602,mppt1t,%f32%f32,%mppt1mt%mppt1ct
0x603,mppt1aps,%f32%f32,%mppt1_12v%mppt1_3v
0x604,mppt1l,%f32%f32,%mppt1mov%mppt1mic
0x605,mppt1s,%ui8%ui8%ui8%b8%b8%ui8%g8%ui8,%mmpt1canrxerrcnt%mppt1cantxerrcnt%mppt1cantxofcnt%mppt1errflg%mppt1limflg%mppt1mode%garbage%mppt1testcnt
0x606,mppt1powcon,%f32%f32,%mppt1ovcon%mppt1ct
#
# MPPT2 Sensors (Ignoring Send Sensors)
0x610,mppt2i,%f32%f32,%mppt2iv%mppt2ic
0x611,mppt2o,%f32%f32,%mppt2ov%mppt2oc
0x612,mppt2t,%f32%f32,%mppt2mt%mppt2ct
0x613,mppt2aps,%f32%f32,%mppt2_12v%mppt2_3v
0x614,mppt2l,%f32%f32,%mppt2mov%mppt2mic
0x615,mppt2s,%ui8%ui8%ui8%b8%b8%ui8%g8%ui8,%mmpt2canrxerrcnt%mppt2cantxerrcnt%mppt2cantxofcnt%mppt2errflg%mppt2limflg%mppt2mode%garbage%mppt2testcnt
0x616,mppt2powcon,%f32%f32,%mppt2ovcon%mppt2ct








