;$FILEVERSION=1.1
;$STARTTIME=45565.4446938773
;
;   Start time: 9/30/2024 10:40:21.551.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)        27.9  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
     2)        28.2  Rx         03FA  8  27 7A 01 00 65 FE FF FF
     3)        28.5  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
     4)       128.5  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
     5)       128.8  Rx         03FA  8  27 7A 01 00 60 FE FF FF
     6)       129.1  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
     7)       229.1  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
     8)       229.4  Rx         03FA  8  27 7A 01 00 58 FE FF FF
     9)       229.7  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
    10)       233.6  Rx         0600  8  B3 B7 4E 42 C3 A7 82 3C
    11)       233.9  Rx         0610  8  30 27 68 42 90 5C 72 3C
    12)       285.4  Rx         0304  8  CB 0E 00 00 F1 00 E3 00
    13)       286.4  Rx         0307  8  D1 0E 00 00 E7 00 E5 00
    14)       287.3  Rx         0305  8  12 0E 0B 0E 12 0E 21 0E
    15)       288.3  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
    16)       289.2  Rx         0306  8  13 0E 28 0E 0F 0E 13 0E
    17)       290.2  Rx         0301  8  52 12 00 00 00 01 E4 00
    18)       291.1  Rx         0309  8  14 0E 19 0E 18 0E 14 0E
    19)       292.0  Rx         0302  8  13 0E 14 0E 12 0E 15 0E
    20)       292.9  Rx         030A  8  DF 0F 00 00 CD 00 E3 00
    21)       293.9  Rx         0303  8  14 0E 17 0E 00 80 00 80
    22)       294.8  Rx         030B  8  16 0E 19 0E 15 0E 18 0E
    23)       295.8  Rx         030C  8  18 0E 00 80 00 80 00 80
    24)       314.0  Rx         0601  8  2D 9C E2 42 3D 5F EE 3B
    25)       314.2  Rx         0611  8  F3 D0 E2 42 70 10 F8 3B
    26)       330.5  Rx         03F8  8  0B 0E 28 0E 02 01 02 05
    27)       330.8  Rx         03FA  8  37 7A 01 00 55 FE FF FF
    28)       331.1  Rx         03F6  8  AA 01 22 FF 81 FC 30 00
    29)       331.4  Rx         03F9  8  E3 00 E5 00 02 00 03 00
    30)       331.7  Rx         0300  8  05 50 00 00 AB 0D 00 00
    31)       332.0  Rx         03FB  8  D2 0F A0 0F 80 04 C7 03
    32)       332.3  Rx         03F7  8  5C 04 00 00 D4 00 01 00
    33)       332.6  Rx         03F4  8  E4 D0 CB 41 D0 3E F0 3E
    34)       332.9  Rx         03F5  8  00 00 00 00 00 00 00 00
    35)       333.3  Rx         03FC  8  BA 09 14 0A DA 03 1F 00
    36)       333.6  Rx         03FD  8  80 00 00 00 00 00 00 00
    37)       394.3  Rx         0602  8  3F 0D C5 41 43 1A D7 41
    38)       394.6  Rx         0612  8  E2 43 C5 41 CD FC F8 41
    39)       430.2  Rx         03F8  8  0B 0E 28 0E 02 01 02 05
    40)       430.5  Rx         03FA  8  27 7A 01 00 5A FE FF FF
    41)       430.8  Rx         03F6  8  AA 01 23 FF 81 FC 30 00
    42)       474.7  Rx         0603  8  34 C0 29 41 B4 F3 3E 40
    43)       474.9  Rx         0613  8  A7 B1 27 41 E1 A9 41 40
    44)       530.8  Rx         03F8  8  0B 0E 28 0E 02 01 02 05
    45)       531.1  Rx         03FA  8  37 7A 01 00 58 FE FF FF
    46)       531.4  Rx         03F6  8  AA 01 23 FF 81 FC 30 00
    47)       555.1  Rx         0604  8  CD CC E2 42 00 00 E0 40
    48)       555.3  Rx         0614  8  CD CC E2 42 00 00 E0 40
    49)       631.4  Rx         03F8  8  0B 0E 28 0E 02 01 02 05
    50)       631.7  Rx         03FA  8  37 7A 01 00 55 FE FF FF
    51)       632.0  Rx         03F6  8  AA 01 23 FF 81 FC 30 00
    52)       635.4  Rx         0605  8  00 00 00 08 05 01 80 03
    53)       635.6  Rx         0615  8  00 00 00 08 00 01 80 03
    54)       715.7  Rx         0606  8  25 D1 E2 42 61 21 BD 41
    55)       716.0  Rx         0616  8  D7 FF E2 42 7F 52 BC 41
    56)       731.9  Rx         03F8  8  0B 0E 28 0E 02 01 02 05
    57)       732.2  Rx         03FA  8  37 7A 01 00 59 FE FF FF
    58)       732.5  Rx         03F6  8  AA 01 23 FF 81 FC 30 00
    59)       832.4  Rx         03F8  8  0B 0E 28 0E 02 01 02 05
    60)       832.8  Rx         03FA  8  27 7A 01 00 56 FE FF FF
    61)       833.1  Rx         03F6  8  AA 01 23 FF 81 FC 30 00
    62)       933.0  Rx         03F8  8  0B 0E 28 0E 02 01 02 05
    63)       933.3  Rx         03FA  8  37 7A 01 00 5E FE FF FF
    64)       933.6  Rx         03F6  8  AA 01 23 FF 81 FC 30 00
    65)      1033.6  Rx         03F8  8  0B 0E 28 0E 02 01 02 05
    66)      1033.9  Rx         03FA  8  37 7A 01 00 57 FE FF FF
    67)      1034.2  Rx         03F6  8  AA 01 23 FF 81 FC 30 00
    68)      1042.2  Rx         0600  8  90 F0 47 42 2B B9 88 3C
    69)      1042.4  Rx         0610  8  E8 2A 68 42 7F 9D 74 3C
    70)      1122.6  Rx         0601  8  C5 C7 E2 42 31 15 F1 3B
    71)      1122.8  Rx         0611  8  8B FB E2 42 F9 33 FA 3B
    72)      1134.1  Rx         03F8  8  0B 0E 28 0E 02 01 02 05
    73)      1134.4  Rx         03FA  8  37 7A 01 00 62 FE FF FF
    74)      1134.7  Rx         03F6  8  AA 01 23 FF 81 FC 30 00
    75)      1174.2  Rx         0304  8  CB 0E 00 00 F2 00 E3 00
    76)      1175.2  Rx         0307  8  D1 0E 00 00 E8 00 E4 00
    77)      1176.1  Rx         0305  8  12 0E 0A 0E 12 0E 21 0E
    78)      1177.1  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
    79)      1178.0  Rx         0306  8  13 0E 28 0E 0F 0E 13 0E
    80)      1179.0  Rx         0301  8  52 12 00 00 00 01 E4 00
    81)      1179.9  Rx         0309  8  14 0E 19 0E 18 0E 14 0E
    82)      1180.8  Rx         0302  8  13 0E 14 0E 12 0E 16 0E
    83)      1181.8  Rx         030A  8  DF 0F 00 00 CC 00 E3 00
    84)      1182.7  Rx         0303  8  14 0E 17 0E 00 80 00 80
    85)      1183.7  Rx         030B  8  16 0E 19 0E 15 0E 18 0E
    86)      1184.7  Rx         030C  8  18 0E 00 80 00 80 00 80
    87)      1202.9  Rx         0602  8  19 18 C5 41 77 59 D7 41
    88)      1203.1  Rx         0612  8  D1 45 C5 41 E5 07 F9 41
    89)      1234.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
    90)      1235.0  Rx         03FA  8  27 7A 01 00 5D FE FF FF
    91)      1235.3  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
    92)      1283.3  Rx         0603  8  87 30 2A 41 53 FB 3E 40
    93)      1283.5  Rx         0613  8  F7 3F 28 41 D2 AD 41 40
    94)      1336.2  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
    95)      1336.5  Rx         03FA  8  27 7A 01 00 57 FE FF FF
    96)      1336.8  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
    97)      1337.1  Rx         03F9  8  E3 00 E4 00 02 00 01 00
    98)      1337.4  Rx         0300  8  05 50 00 00 AB 0D 00 00
    99)      1337.7  Rx         03FB  8  D2 0F A0 0F 80 04 C7 03
   100)      1337.9  Rx         03F7  8  5C 04 00 00 D5 00 01 00
   101)      1338.2  Rx         03F4  8  21 D1 CB 41 7E 3E F0 3E
   102)      1338.5  Rx         03F5  8  00 00 00 00 00 00 00 00
   103)      1338.9  Rx         03FC  8  D8 09 F6 09 AA 03 21 00
   104)      1339.2  Rx         03FD  8  80 00 00 00 00 00 00 00
   105)      1363.6  Rx         0604  8  CD CC E2 42 00 00 E0 40
   106)      1363.8  Rx         0614  8  CD CC E2 42 00 00 E0 40
   107)      1435.8  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   108)      1436.1  Rx         03FA  8  27 7A 01 00 59 FE FF FF
   109)      1436.5  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   110)      1443.9  Rx         0605  8  00 00 00 08 05 01 80 04
   111)      1444.2  Rx         0615  8  00 00 00 08 00 01 80 04
   112)      1524.2  Rx         0606  8  D8 FC E2 42 97 24 BD 41
   113)      1524.5  Rx         0616  8  D2 29 E3 42 28 4F BC 41
   114)      1536.4  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   115)      1536.7  Rx         03FA  8  27 7A 01 00 56 FE FF FF
   116)      1537.0  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   117)      1637.0  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   118)      1637.3  Rx         03FA  8  27 7A 01 00 52 FE FF FF
   119)      1637.6  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   120)      1737.5  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   121)      1737.8  Rx         03FA  8  27 7A 01 00 5E FE FF FF
   122)      1738.1  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   123)      1838.1  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   124)      1838.4  Rx         03FA  8  37 7A 01 00 56 FE FF FF
   125)      1838.7  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   126)      1845.7  Rx         0600  8  05 19 45 42 57 A1 89 3C
   127)      1845.9  Rx         0610  8  ED 2A 68 42 CB D0 74 3C
   128)      1925.9  Rx         0601  8  65 E7 E2 42 29 1A EF 3B
   129)      1926.2  Rx         0611  8  FD 27 E3 42 78 37 FA 3B
   130)      1938.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   131)      1939.0  Rx         03FA  8  27 7A 01 00 55 FE FF FF
   132)      1939.3  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   133)      2006.3  Rx         0602  8  0D 2A C5 41 37 4F D7 41
   134)      2006.5  Rx         0612  8  0D 4D C5 41 AB 20 F9 41
   135)      2039.2  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   136)      2039.5  Rx         03FA  8  47 7A 01 00 5D FE FF FF
   137)      2039.8  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   138)      2063.0  Rx         0304  8  CB 0E 00 00 F1 00 E3 00
   139)      2064.0  Rx         0307  8  D1 0E 00 00 E8 00 E4 00
   140)      2064.9  Rx         0305  8  12 0E 0A 0E 12 0E 21 0E
   141)      2065.9  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
   142)      2066.8  Rx         0306  8  13 0E 28 0E 0F 0E 14 0E
   143)      2067.8  Rx         0301  8  52 12 00 00 00 01 E4 00
   144)      2068.7  Rx         0309  8  14 0E 19 0E 18 0E 14 0E
   145)      2069.6  Rx         0302  8  13 0E 14 0E 12 0E 15 0E
   146)      2070.5  Rx         030A  8  DF 0F 00 00 CC 00 E3 00
   147)      2071.5  Rx         0303  8  14 0E 17 0E 00 80 00 80
   148)      2072.4  Rx         030B  8  16 0E 19 0E 15 0E 18 0E
   149)      2073.5  Rx         030C  8  18 0E 00 80 00 80 00 80
   150)      2086.6  Rx         0603  8  44 BB 29 41 1E F7 3E 40
   151)      2086.9  Rx         0613  8  BA C0 27 41 DC B1 41 40
   152)      2139.8  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   153)      2140.1  Rx         03FA  8  27 7A 01 00 61 FE FF FF
   154)      2140.4  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   155)      2167.0  Rx         0604  8  CD CC E2 42 00 00 E0 40
   156)      2167.2  Rx         0614  8  CD CC E2 42 00 00 E0 40
   157)      2240.4  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   158)      2240.7  Rx         03FA  8  37 7A 01 00 5A FE FF FF
   159)      2241.0  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   160)      2247.4  Rx         0605  8  00 00 00 08 00 01 80 05
   161)      2247.6  Rx         0615  8  00 00 00 08 00 01 80 05
   162)      2327.6  Rx         0606  8  7A 1D E3 42 0B 31 BD 41
   163)      2327.9  Rx         0616  8  0B 53 E3 42 1B 48 BC 41
   164)      2341.8  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   165)      2342.1  Rx         03FA  8  27 7A 01 00 59 FE FF FF
   166)      2342.4  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   167)      2342.7  Rx         03F9  8  E3 00 E4 00 02 00 01 00
   168)      2343.0  Rx         0300  8  05 50 00 00 AB 0D 00 00
   169)      2343.3  Rx         03FB  8  D2 0F A0 0F 80 04 C7 03
   170)      2343.6  Rx         03F7  8  5C 04 00 00 D6 00 01 00
   171)      2343.9  Rx         03F4  8  5F D1 CB 41 2C 3E F0 3E
   172)      2344.2  Rx         03F5  8  00 00 00 00 00 00 00 00
   173)      2344.5  Rx         03FC  8  BA 09 F6 09 D0 03 21 00
